source,relation,destination
weight training (moderate),SPENDS,5.1-13.5
weight training (moderate),SPENDS,0-110
weight training (moderate),SPENDS,5.1-110
circuit training,SPENDS,5.1-8.0
circuit training,SPENDS,0-1200
circuit training,SPENDS,5.1-13.5
circuit training,SPENDS,0-110
circuit training,SPENDS,5.1-110
basketball,SPENDS,5.1-8.0
basketball,SPENDS,0-1200
basketball,SPENDS,5.1-13.5
basketball,SPENDS,0-110
basketball,SPENDS,5.1-110
tree climbing (ropes),SPENDS,5.1-8.0
tree climbing (ropes),SPENDS,0-1200
tree climbing (ropes),SPENDS,5.1-13.5
tree climbing (ropes),SPENDS,0-110
tree climbing (ropes),SPENDS,5.1-110
skiing (water),SPENDS,5.1-8.0
skiing (water),SPENDS,0-1200
skiing (water),SPENDS,5.1-13.5
skiing (water),SPENDS,0-110
skiing (water),SPENDS,5.1-110
"dance (fast step, aerobic)",SPENDS,5.1-8.0
"dance (fast step, aerobic)",SPENDS,0-1200
"dance (fast step, aerobic)",SPENDS,5.1-13.5
"dance (fast step, aerobic)",SPENDS,0-110
"dance (fast step, aerobic)",SPENDS,5.1-110
hiking,SPENDS,5.1-8.0
hiking,SPENDS,0-1200
hiking,SPENDS,5.1-13.5
hiking,SPENDS,0-110
hiking,SPENDS,5.1-110
shoveling snow,SPENDS,5.1-8.0
shoveling snow,SPENDS,0-1200
shoveling snow,SPENDS,5.1-13.5
shoveling snow,SPENDS,0-110
shoveling snow,SPENDS,5.1-110
scuba diving,SPENDS,5.1-8.0
scuba diving,SPENDS,0-1200
scuba diving,SPENDS,5.1-13.5
scuba diving,SPENDS,0-110
scuba diving,SPENDS,5.1-110
power walking,SPENDS,5.1-8.0
power walking,SPENDS,0-1200
power walking,SPENDS,5.1-13.5
power walking,SPENDS,0-110
power walking,SPENDS,5.1-110
pole dancing,SPENDS,5.1-8.0
pole dancing,SPENDS,0-1200
pole dancing,SPENDS,5.1-13.5
pole dancing,SPENDS,0-110
pole dancing,SPENDS,5.1-110
exercise machine (slow),SPENDS,5.1-8.0
exercise machine (slow),SPENDS,0-1200
exercise machine (slow),SPENDS,5.1-13.5
exercise machine (slow),SPENDS,0-110
exercise machine (slow),SPENDS,5.1-110
netball,SPENDS,5.1-8.0
netball,SPENDS,0-1200
netball,SPENDS,5.1-13.5
netball,SPENDS,0-110
netball,SPENDS,5.1-110
floorball,SPENDS,5.1-8.0
floorball,SPENDS,0-1200
floorball,SPENDS,5.1-13.5
floorball,SPENDS,0-110
floorball,SPENDS,5.1-110
trampolining,SPENDS,5.1-8.0
trampolining,SPENDS,0-1200
trampolining,SPENDS,5.1-13.5
trampolining,SPENDS,0-110
trampolining,SPENDS,5.1-110
gym,SPENDS,5.1-8.0
gym,SPENDS,0-1200
gym,SPENDS,5.1-13.5
gym,SPENDS,0-110
gym,SPENDS,5.1-110
zumba,SPENDS,5.1-8.0
zumba,SPENDS,0-1200
zumba,SPENDS,5.1-13.5
zumba,SPENDS,0-110
zumba,SPENDS,5.1-110
t25,SPENDS,5.1-8.0
t25,SPENDS,0-1200
t25,SPENDS,5.1-13.5
t25,SPENDS,0-110
t25,SPENDS,5.1-110
swimming (moderate),SPENDS,5.1-8.0
swimming (moderate),SPENDS,0-1200
swimming (moderate),SPENDS,5.1-13.5
swimming (moderate),SPENDS,0-110
swimming (moderate),SPENDS,5.1-110
stairs (climbing stairs),SPENDS,5.1-8.0
stairs (climbing stairs),SPENDS,0-1200
stairs (climbing stairs),SPENDS,5.1-13.5
stairs (climbing stairs),SPENDS,0-110
stairs (climbing stairs),SPENDS,5.1-110
power jump,SPENDS,5.1-8.0
power jump,SPENDS,0-1200
power jump,SPENDS,5.1-13.5
power jump,SPENDS,0-110
power jump,SPENDS,5.1-110
fitness training (workout),SPENDS,5.1-8.0
fitness training (workout),SPENDS,0-1200
fitness training (workout),SPENDS,5.1-13.5
fitness training (workout),SPENDS,0-110
fitness training (workout),SPENDS,5.1-110
muay thai,SPENDS,5.1-8.0
muay thai,SPENDS,0-1200
muay thai,SPENDS,5.1-13.5
muay thai,SPENDS,0-110
muay thai,SPENDS,5.1-110
grit,SPENDS,5.1-8.0
grit,SPENDS,0-1200
grit,SPENDS,5.1-13.5
grit,SPENDS,0-110
grit,SPENDS,5.1-110
xco,SPENDS,5.1-8.0
xco,SPENDS,0-1200
xco,SPENDS,5.1-13.5
xco,SPENDS,0-110
xco,SPENDS,5.1-110
high intensity interval training (hiit),SPENDS,5.1-8.0
high intensity interval training (hiit),SPENDS,0-1200
high intensity interval training (hiit),SPENDS,5.1-13.5
high intensity interval training (hiit),SPENDS,0-110
high intensity interval training (hiit),SPENDS,5.1-110
martial arts,SPENDS,5.1-8.0
martial arts,SPENDS,0-1200
martial arts,SPENDS,5.1-13.5
martial arts,SPENDS,0-110
martial arts,SPENDS,5.1-110
insanity,SPENDS,5.1-8.0
insanity,SPENDS,0-1200
insanity,SPENDS,5.1-13.5
insanity,SPENDS,0-110
insanity,SPENDS,5.1-110
jiu jitsu,SPENDS,5.1-8.0
jiu jitsu,SPENDS,0-1200
jiu jitsu,SPENDS,5.1-13.5
jiu jitsu,SPENDS,0-110
jiu jitsu,SPENDS,5.1-110
judo,SPENDS,5.1-8.0
judo,SPENDS,0-1200
judo,SPENDS,5.1-13.5
judo,SPENDS,0-110
judo,SPENDS,5.1-110
snow boarding,SPENDS,5.1-8.0
snow boarding,SPENDS,0-1200
snow boarding,SPENDS,5.1-13.5
snow boarding,SPENDS,0-110
snow boarding,SPENDS,5.1-110
kangoo,SPENDS,5.1-8.0
kangoo,SPENDS,0-1200
kangoo,SPENDS,5.1-13.5
kangoo,SPENDS,0-110
kangoo,SPENDS,5.1-110
tae bo,SPENDS,5.1-8.0
tae bo,SPENDS,0-1200
tae bo,SPENDS,5.1-13.5
tae bo,SPENDS,0-110
tae bo,SPENDS,5.1-110
karate,SPENDS,5.1-8.0
karate,SPENDS,0-1200
karate,SPENDS,5.1-13.5
karate,SPENDS,0-110
karate,SPENDS,5.1-110
