source,relation,destination
water biking/running,BURNS,101-300
water biking/running,BURNS,101-900
water biking/running,BURNS,101-500
swimming (slow),BURNS,201-300
swimming (slow),BURNS,251-300
swimming (slow),BURNS,101-1200
swimming (slow),BURNS,101-300
swimming (slow),BURNS,101-900
swimming (slow),BURNS,101-500
horseback riding,BURNS,201-300
horseback riding,BURNS,251-300
horseback riding,BURNS,101-1200
horseback riding,BURNS,101-300
horseback riding,BURNS,101-900
horseback riding,BURNS,101-500
yoga (hot),BURNS,201-300
yoga (hot),BURNS,251-300
yoga (hot),BURNS,101-1200
yoga (hot),BURNS,101-300
yoga (hot),BURNS,101-900
yoga (hot),BURNS,101-500
bowling,BURNS,201-300
bowling,BURNS,251-300
bowling,BURNS,101-1200
bowling,BURNS,101-300
bowling,BURNS,101-900
bowling,BURNS,101-500
golf (walking),BURNS,201-300
golf (walking),BURNS,251-300
golf (walking),BURNS,101-1200
golf (walking),BURNS,101-300
golf (walking),BURNS,101-900
golf (walking),BURNS,101-500
dance (slow step),BURNS,201-300
dance (slow step),BURNS,251-300
dance (slow step),BURNS,101-1200
dance (slow step),BURNS,101-300
dance (slow step),BURNS,101-900
dance (slow step),BURNS,101-500
bicycling (leisurely) - <10/mph,BURNS,201-300
bicycling (leisurely) - <10/mph,BURNS,251-300
bicycling (leisurely) - <10/mph,BURNS,101-1200
bicycling (leisurely) - <10/mph,BURNS,101-300
bicycling (leisurely) - <10/mph,BURNS,101-900
bicycling (leisurely) - <10/mph,BURNS,101-500
mowing lawn,BURNS,301-500
mowing lawn,BURNS,351-400
mowing lawn,BURNS,101-1200
mowing lawn,BURNS,101-900
mowing lawn,BURNS,301-400
mowing lawn,BURNS,101-500
cricket,BURNS,301-500
cricket,BURNS,351-400
cricket,BURNS,101-1200
cricket,BURNS,101-900
cricket,BURNS,301-400
cricket,BURNS,101-500
softball,BURNS,301-500
softball,BURNS,351-400
softball,BURNS,101-1200
softball,BURNS,101-900
softball,BURNS,301-400
softball,BURNS,101-500
skating - 10/mph,BURNS,301-500
skating - 10/mph,BURNS,351-400
skating - 10/mph,BURNS,101-1200
skating - 10/mph,BURNS,101-900
skating - 10/mph,BURNS,301-400
skating - 10/mph,BURNS,101-500
walking (brisk) - 4/mph,BURNS,301-500
walking (brisk) - 4/mph,BURNS,351-400
walking (brisk) - 4/mph,BURNS,101-1200
walking (brisk) - 4/mph,BURNS,101-900
walking (brisk) - 4/mph,BURNS,301-400
walking (brisk) - 4/mph,BURNS,101-500
shoveling,BURNS,301-500
shoveling,BURNS,351-400
shoveling,BURNS,101-1200
shoveling,BURNS,101-900
shoveling,BURNS,301-400
shoveling,BURNS,101-500
dance (square dancing),BURNS,301-500
dance (square dancing),BURNS,351-400
dance (square dancing),BURNS,101-1200
dance (square dancing),BURNS,101-900
dance (square dancing),BURNS,301-400
dance (square dancing),BURNS,101-500
baseball,BURNS,301-500
baseball,BURNS,351-400
baseball,BURNS,101-1200
baseball,BURNS,101-900
baseball,BURNS,301-400
baseball,BURNS,101-500
painting,BURNS,301-500
painting,BURNS,351-400
painting,BURNS,101-1200
painting,BURNS,101-900
painting,BURNS,301-400
painting,BURNS,101-500
badminton,BURNS,301-500
badminton,BURNS,351-400
badminton,BURNS,101-1200
badminton,BURNS,101-900
badminton,BURNS,301-400
badminton,BURNS,101-500
kayaking,BURNS,301-500
kayaking,BURNS,351-400
kayaking,BURNS,101-1200
kayaking,BURNS,101-900
kayaking,BURNS,301-400
kayaking,BURNS,101-500
hunting,BURNS,301-500
hunting,BURNS,351-400
hunting,BURNS,101-1200
hunting,BURNS,101-900
hunting,BURNS,301-400
hunting,BURNS,101-500
hula hoop,BURNS,301-500
hula hoop,BURNS,351-400
hula hoop,BURNS,101-1200
hula hoop,BURNS,101-900
hula hoop,BURNS,301-400
hula hoop,BURNS,101-500
conditioning exercise (health club),BURNS,401-450
conditioning exercise (health club),BURNS,301-500
conditioning exercise (health club),BURNS,101-1200
conditioning exercise (health club),BURNS,401-500
conditioning exercise (health club),BURNS,101-900
conditioning exercise (health club),BURNS,101-500
bicycling (slow) - 11/mph,BURNS,401-450
bicycling (slow) - 11/mph,BURNS,301-500
bicycling (slow) - 11/mph,BURNS,101-1200
bicycling (slow) - 11/mph,BURNS,401-500
bicycling (slow) - 11/mph,BURNS,101-900
bicycling (slow) - 11/mph,BURNS,101-500
weight training (moderate),BURNS,401-450
weight training (moderate),BURNS,301-500
weight training (moderate),BURNS,101-1200
weight training (moderate),BURNS,401-500
weight training (moderate),BURNS,101-900
weight training (moderate),BURNS,101-500
circuit training,BURNS,401-450
circuit training,BURNS,301-500
circuit training,BURNS,101-1200
circuit training,BURNS,401-500
circuit training,BURNS,101-900
circuit training,BURNS,101-500
basketball,BURNS,401-450
basketball,BURNS,301-500
basketball,BURNS,101-1200
basketball,BURNS,401-500
basketball,BURNS,101-900
basketball,BURNS,101-500
tree climbing (ropes),BURNS,401-450
tree climbing (ropes),BURNS,301-500
tree climbing (ropes),BURNS,101-1200
tree climbing (ropes),BURNS,401-500
tree climbing (ropes),BURNS,101-900
tree climbing (ropes),BURNS,101-500
skiing (water),BURNS,401-450
skiing (water),BURNS,301-500
skiing (water),BURNS,101-1200
skiing (water),BURNS,401-500
skiing (water),BURNS,101-900
skiing (water),BURNS,101-500
"dance (fast step, aerobic)",BURNS,401-450
"dance (fast step, aerobic)",BURNS,301-500
"dance (fast step, aerobic)",BURNS,101-1200
"dance (fast step, aerobic)",BURNS,401-500
"dance (fast step, aerobic)",BURNS,101-900
"dance (fast step, aerobic)",BURNS,101-500
hiking,BURNS,401-450
hiking,BURNS,301-500
hiking,BURNS,101-1200
hiking,BURNS,401-500
hiking,BURNS,101-900
hiking,BURNS,101-500
shoveling snow,BURNS,401-450
shoveling snow,BURNS,301-500
shoveling snow,BURNS,101-1200
shoveling snow,BURNS,401-500
shoveling snow,BURNS,101-900
shoveling snow,BURNS,101-500
scuba diving,BURNS,401-450
scuba diving,BURNS,301-500
scuba diving,BURNS,101-1200
scuba diving,BURNS,401-500
scuba diving,BURNS,101-900
scuba diving,BURNS,101-500
power walking,BURNS,401-450
power walking,BURNS,301-500
power walking,BURNS,101-1200
power walking,BURNS,401-500
power walking,BURNS,101-900
power walking,BURNS,101-500
pole dancing,BURNS,401-450
pole dancing,BURNS,301-500
