muscleNstrength,exRx,confidence
barbell bench press,bench press_alternating,0.8539682539682539
barbell bench press,bench press_alternating,0.8539682539682539
barbell bench press,incline bench press_barbell machine,1.0
barbell bench press,bench press_standing,0.8539682539682539
barbell bench press,incline bench press_cable bar,0.9555555555555556
barbell bench press,decline bench press,0.8539682539682539
barbell bench press,bench press_bar,0.9555555555555556
barbell bench press,bench press_cable bar,0.9555555555555556
barbell bench press,behind neck press_barbell machine,0.9303703703703704
barbell bench press,bench press_decline bench press,0.8539682539682539
barbell bench press,bench press_with chains,0.8539682539682539
barbell bench press,bench press,0.8539682539682539
barbell bench press,bench press_floor press,0.8539682539682539
barbell bench press,bench press_cable bar,0.9555555555555556
barbell bench press,incline bench press,0.8539682539682539
barbell bench press,bench press,0.8539682539682539
barbell bench press,incline bench press,0.8539682539682539
barbell bench press,bench press_one arm,0.8835978835978836
barbell bench press,bench press_twisting,0.8539682539682539
barbell bench press,bench press_guillotine,0.8539682539682539
barbell bench press,bench press_decline chest press,0.8539682539682539
barbell bench press,bench press_chest press,0.8539682539682539
barbell bench press,bench press_board press,0.892063492063492
barbell bench press,bench press,0.8539682539682539
barbell bench press,shoulder press_barbell machine,0.8539682539682539
barbell bench press,decline bench press,0.8539682539682539
barbell bench press,incline bench press_parallel grip,0.9043650793650794
barbell bench press,bench press_twisting standing chest press,0.8539682539682539
barbell bench press,bench press,0.8539682539682539
barbell bench press,incline bench press,0.8539682539682539
barbell bench press,incline bench press,0.8539682539682539
barbell bench press,bench press_parallel grip,0.9043650793650794
barbell bench press,bench press_chest press,0.8539682539682539
barbell bench press,bench press_decline chest press,0.8539682539682539
barbell bench press,bench press,0.8539682539682539
barbell bench press,bench press_power lift,0.8539682539682539
one arm medicine ball push up,decline push-up_on stability ball,0.8661375661375662
incline cable flys,incline fly,0.8726190476190476
incline cable flys,incline fly,0.8726190476190476
incline cable flys,incline fly,0.8726190476190476
incline cable flys,standing incline fly,0.8726190476190476
cable chest press,incline chest press_alternating,0.892063492063492
cable chest press,decline chest press_alternative machine,0.892063492063492
cable chest press,incline bench press_cable bar,0.8666666666666667
cable chest press,incline chest press_parallel grip,0.892063492063492
cable chest press,bench press_cable bar,0.8666666666666667
cable chest press,standing incline chest press,0.892063492063492
cable chest press,standing incline chest press_cable bar,1.0
cable chest press,incline chest press,0.892063492063492
cable chest press,bench press_cable bar,0.8666666666666667
cable chest press,standing incline chest press_one arm,0.892063492063492
cable chest press,chest press,0.8666666666666667
cable chest press,incline chest press,0.892063492063492
cable chest press,incline chest press,0.892063492063492
cable chest press,bench press_decline chest press,0.892063492063492
cable chest press,bench press_chest press,0.8666666666666667
cable chest press,chest press,0.8666666666666667
cable chest press,bench press_twisting standing chest press,0.8666666666666667
cable chest press,incline chest press_on military press machine,0.892063492063492
cable chest press,bench press_chest press,0.8666666666666667
cable chest press,wide grip chest press,0.8666666666666667
cable chest press,bench press_decline chest press,0.892063492063492
cable chest press,decline chest press,0.892063492063492
cable inner chest press,standing incline chest press_cable bar,0.8904761904761904
kettlebell push up,decline push-up_on stability ball,0.8587301587301588
kettlebell push up,decline push-up,0.8587301587301588
kettlebell push up,pike push-up,0.8555555555555555
kettlebell push up,push-up_on knees,0.8777777777777778
smith machine incline bench press,bench press_alternative machine,0.8558730158730159
smith machine incline bench press,bench press_barbell machine,0.8558730158730159
smith machine incline bench press,incline bench press_barbell machine,0.913015873015873
smith machine bench press,bench press_alternative machine,0.8912698412698412
smith machine bench press,bench press_barbell machine,0.8912698412698412
smith machine bench press,incline bench press_barbell machine,0.8912698412698412
smith machine bench press,bench press_with chains,0.8914682539682539
decline bench press,bent-over fly (iron cross)_decline,0.8605555555555556
decline bench press,incline bench press_parallel grip,0.9365079365079366
decline bench press,bench press_standing,0.8539682539682539
decline bench press,bench press_alternative machine,0.9047619047619048
decline bench press,incline bench press,0.9365079365079366
decline bench press,bench press_barbell machine,0.9047619047619048
decline bench press,incline bench press,0.9365079365079366
decline bench press,decline bench press,1.0
decline bench press,bench press,0.8539682539682539
decline bench press,bench press_alternating,0.8539682539682539
decline bench press,decline chest press_alternative machine,0.8539682539682539
decline bench press,bench press_alternating,0.8539682539682539
decline bench press,incline bench press_barbell machine,0.9365079365079366
decline bench press,bench press_standing,0.8539682539682539
decline bench press,incline bench press_cable bar,0.9365079365079366
decline bench press,decline bench press,1.0
decline bench press,bench press_bar,0.8539682539682539
decline bench press,bench press_cable bar,0.892063492063492
decline bench press,bench press_decline bench press,1.0
decline bench press,bench press_with chains,0.8809523809523809
decline bench press,bench press,0.8539682539682539
decline bench press,bench press_floor press,0.8539682539682539
decline bench press,bench press_cable bar,0.892063492063492
decline bench press,incline bench press,0.9365079365079366
decline bench press,bench press,0.8539682539682539
decline bench press,incline bench press,0.9365079365079366
decline bench press,bench press_one arm,0.8539682539682539
decline bench press,bench press_twisting,0.8539682539682539
decline bench press,bench press_guillotine,0.857936507936508
decline bench press,bench press_decline chest press,1.0
decline bench press,bench press_chest press,0.8539682539682539
decline bench press,bench press_board press,0.8539682539682539
decline bench press,bench press,0.8539682539682539
decline bench press,decline bench press,1.0
decline bench press,incline bench press_parallel grip,0.9365079365079366
decline bench press,bench press_twisting standing chest press,0.8539682539682539
decline bench press,bench press,0.8539682539682539
decline bench press,bent-over fly (iron cross)_decline fly,0.8605555555555556
decline bench press,incline bench press,0.9365079365079366
decline bench press,incline bench press,0.9365079365079366
decline bench press,bench press_parallel grip,0.8539682539682539
decline bench press,bench press_chest press,0.8539682539682539
decline bench press,bench press_decline chest press,1.0
decline bench press,decline chest press,0.8539682539682539
decline bench press,bench press,0.8539682539682539
decline bench press,bench press_power lift,0.8539682539682539
dumbbell bench press,bench press_barbell machine,0.9265873015873015
dumbbell bench press,incline bench press_barbell machine,0.9265873015873015
dumbbell bench press,behind neck press_barbell machine,0.8569576719576718
valslide push up,decline push-up_on stability ball,0.9027777777777778
valslide push up,push-up_incline,0.8670634920634921
valslide push up,push-up_on handles,0.8821428571428571
valslide push up,push-up plus,0.8611111111111112
valslide push up,handstand push-up_on parallettes,0.8737373737373737
valslide push up,decline push-up,0.8670634920634921
sled press,military press_seated,0.8875
sled press,shoulder press_seated,0.8875
hammer strength machine incline bench press,incline bench press_barbell machine,0.8687830687830688
paused push up,depth push-up,0.9249999999999999
paused push up,push-up_on bar,0.9249999999999999
paused push up,decline push-up_on stability ball,0.9249999999999999
paused push up,push-up_incline,0.9249999999999999
paused push up,push-up_on handles,0.9249999999999999
paused push up,push-up plus,0.9249999999999999
paused push up,push-up,0.9249999999999999
paused push up,push-up,0.9249999999999999
paused push up,handstand push-up_on parallettes,0.9249999999999999
paused push up,decline push-up,0.9249999999999999
paused push up,pike push-up,0.9249999999999999
paused push up,clap push-up,0.9249999999999999
paused push up,handstand push-up,0.9249999999999999
paused push up,push-up_on knees,0.9249999999999999
ring push up,push-up_on bar,0.8611111111111112
ring push up,decline push-up_on stability ball,0.8611111111111112
ring push up,push-up_incline,0.8650793650793651
ring push up,push-up_on handles,0.8611111111111112
ring push up,handstand push-up_on parallettes,0.8611111111111112
ring push up,push-up_on knees,0.8611111111111112
reverse grip cable curl,reverse curl_cable bar,0.8819444444444444
reverse one arm cable curl,reverse wrist curl_one arm,0.9266666666666665
reverse one arm cable curl,reverse curl_cable bar,0.8539682539682539
one arm reverse dumbbell preacher curl,reverse wrist curl_one arm,0.8627645502645501
wrist rollers,wrist roller_radial deviation,0.9857142857142858
wrist rollers,wrist roller_ulnar deviation,0.9857142857142858
wrist rollers,reverse wrist curl_one arm,0.8714285714285714
wrist rollers,wrist roller,0.9857142857142858
wrist rollers,reverse wrist curl,0.8714285714285714
wrist rollers,reverse wrist curl,0.8714285714285714
wrist rollers,wrist roller,0.9857142857142858
wrist rollers,reverse wrist curl,0.8714285714285714
wrist rollers,reverse wrist curl,0.8714285714285714
wrist rollers,wrist roller,0.9857142857142858
wrist rollers,wrist roller,0.9857142857142858
wrist rollers,reverse wrist curl,0.8714285714285714
reverse concentration curl,reverse wrist curl_one arm,0.868945868945869
one arm seated reverse dumbbell wrist curl,reverse wrist curl_one arm,0.8608276643990929
standing cable reverse curl,reverse preacher curl_standing,0.9083333333333333
standing cable reverse curl,reverse curl_cable bar,0.8715277777777778
standing cable reverse curl,reverse preacher curl_standing,0.9083333333333333
reverse cable preacher curl,reverse preacher curl,0.9083333333333333
reverse cable preacher curl,reverse preacher curl,0.9083333333333333
reverse cable preacher curl,reverse preacher curl_standing,0.9083333333333333
reverse cable preacher curl,reverse preacher curl,0.9083333333333333
reverse cable preacher curl,reverse curl_cable bar,0.9226190476190476
reverse cable preacher curl,reverse preacher curl_standing,0.9083333333333333
reverse grip preacher curl,reverse preacher curl,0.875
reverse grip preacher curl,reverse preacher curl,0.875
reverse grip preacher curl,reverse preacher curl_standing,0.875
reverse grip preacher curl,reverse preacher curl,0.875
reverse grip preacher curl,reverse preacher curl_standing,0.875
dumbbell reverse preacher curl,reverse preacher curl,0.8645833333333334
dumbbell reverse preacher curl,reverse preacher curl,0.8645833333333334
dumbbell reverse preacher curl,reverse preacher curl_standing,0.8645833333333334
dumbbell reverse preacher curl,reverse preacher curl,0.8645833333333334
dumbbell reverse preacher curl,reverse preacher curl_standing,0.8645833333333334
standing barbell calf raise,standing reverse calf raise_plate loaded,0.8912698412698412
standing barbell calf raise,standing calf raise_single leg,0.8912698412698412
standing barbell calf raise,standing calf raise,0.8912698412698412
standing barbell calf raise,safety barbell seated calf raise,0.9097222222222222
standing barbell calf raise,standing calf raise_on v-squat machine,0.8912698412698412
standing barbell calf raise,standing calf raise_belt loaded,0.8912698412698412
standing barbell calf raise,standing calf raise_single leg,0.8912698412698412
standing barbell calf raise,standing calf raise,0.8912698412698412
standing barbell calf raise,standing calf raise,0.8912698412698412
standing barbell calf raise,standing calf raise,0.8912698412698412
standing barbell calf raise,standing calf raise_single leg,0.8912698412698412
standing barbell calf raise,standing calf raise,0.8912698412698412
standing barbell calf raise,standing calf raise,0.8912698412698412
standing barbell calf raise,standing calf raise,0.8912698412698412
standing barbell calf raise,standing calf raise_one arm,0.9126984126984127
standing barbell calf raise,standing reverse calf raise,0.8912698412698412
standing barbell calf raise,standing calf raise_forward angled,0.8912698412698412
standing barbell calf raise,standing calf raise_forward angled,0.8912698412698412
standing barbell calf raise,standing calf raise,0.8912698412698412
one-leg cable calf raise,reverse calf raise_on v-squat machine,0.8716402116402117
one-leg seated calf raise,reverse calf raise_on v-squat machine,0.8555291005291005
45 degree leg press calf raise,45° reverse calf press_single leg,0.8666666666666666
45 degree leg press calf raise,45° calf press_single leg,0.8666666666666666
rocking standing calf raise,standing reverse calf raise_plate loaded,0.8904761904761904
rocking standing calf raise,standing calf raise_single leg,0.9107142857142857
rocking standing calf raise,standing calf raise,0.8904761904761904
rocking standing calf raise,standing calf raise_on v-squat machine,0.9047619047619048
rocking standing calf raise,standing calf raise_belt loaded,0.8904761904761904
rocking standing calf raise,standing calf raise_single leg,0.9107142857142857
rocking standing calf raise,standing calf raise,0.8904761904761904
rocking standing calf raise,standing calf raise,0.8904761904761904
rocking standing calf raise,standing calf raise,0.8904761904761904
rocking standing calf raise,standing calf raise_single leg,0.9107142857142857
rocking standing calf raise,standing calf raise,0.8904761904761904
rocking standing calf raise,standing calf raise,0.8904761904761904
rocking standing calf raise,standing calf raise,0.8904761904761904
rocking standing calf raise,standing calf raise_one arm,0.8904761904761904
rocking standing calf raise,standing reverse calf raise,0.8904761904761904
rocking standing calf raise,standing calf raise_forward angled,0.8904761904761904
rocking standing calf raise,standing calf raise_forward angled,0.8904761904761904
rocking standing calf raise,standing calf raise,0.8904761904761904
smith machine seated calf raise,seated calf raise,0.8507936507936508
smith machine seated calf raise,safety barbell seated calf raise,0.8507936507936508
smith machine seated calf raise,standing calf raise_on v-squat machine,0.866
smith machine seated calf raise,seated calf raise,0.8507936507936508
smith machine seated calf raise,reverse calf raise_on v-squat machine,0.866
smith machine seated calf raise,seated calf raise,0.8507936507936508
donkey calf raise,standing reverse calf raise_plate loaded,0.8518518518518517
donkey calf raise,standing calf raise_single leg,0.8518518518518517
donkey calf raise,donkey calf raise,1.0
donkey calf raise,45° reverse calf raise_plate loaded,0.8518518518518517
donkey calf raise,safety barbell seated calf raise,0.8518518518518517
donkey calf raise,standing calf raise_on v-squat machine,0.9259259259259259
donkey calf raise,standing calf raise_belt loaded,0.8518518518518517
donkey calf raise,safety calf raise,0.8518518518518517
donkey calf raise,standing calf raise_single leg,0.8518518518518517
donkey calf raise,donkey calf raise,1.0
donkey calf raise,single leg calf raise,0.8518518518518517
donkey calf raise,reverse calf raise_single leg,0.8518518518518517
donkey calf raise,45° reverse calf raise_on hack press,0.9259259259259259
donkey calf raise,donkey reverse calf raise,1.0
donkey calf raise,45° calf raise_plate loaded,0.8518518518518517
donkey calf raise,donkey calf raise,1.0
donkey calf raise,standing calf raise_single leg,0.8518518518518517
donkey calf raise,single leg calf raise,0.8518518518518517
donkey calf raise,safety bar reverse calf raise,0.8518518518518517
donkey calf raise,donkey calf raise,1.0
donkey calf raise,reverse calf raise_single leg,0.8518518518518517
donkey calf raise,single leg calf raise_with other leg,0.8592592592592593
donkey calf raise,donkey reverse calf raise,1.0
donkey calf raise,standing calf raise_one arm,0.8888888888888888
donkey calf raise,donkey calf raise,1.0
donkey calf raise,single leg forward angled calf raise,0.8518518518518517
donkey calf raise,reverse calf raise_on v-squat machine,0.9259259259259259
donkey calf raise,single leg forward angled calf raise,0.8518518518518517
donkey calf raise,reverse calf raise_single leg,0.8518518518518517
donkey calf raise,standing calf raise_forward angled,0.8518518518518517
donkey calf raise,standing calf raise_forward angled,0.8518518518518517
bodyweight standing calf raise,standing reverse calf raise_plate loaded,0.9
bodyweight standing calf raise,standing calf raise_single leg,0.8895833333333334
bodyweight standing calf raise,standing calf raise,0.8895833333333334
bodyweight standing calf raise,standing calf raise_on v-squat machine,0.8895833333333334
bodyweight standing calf raise,standing calf raise_belt loaded,0.9
bodyweight standing calf raise,standing calf raise_single leg,0.8895833333333334
bodyweight standing calf raise,standing calf raise,0.8895833333333334
bodyweight standing calf raise,standing calf raise,0.8895833333333334
bodyweight standing calf raise,standing calf raise,0.8895833333333334
bodyweight standing calf raise,standing calf raise_single leg,0.8895833333333334
bodyweight standing calf raise,standing calf raise,0.8895833333333334
bodyweight standing calf raise,standing calf raise,0.8895833333333334
bodyweight standing calf raise,standing calf raise,0.8895833333333334
bodyweight standing calf raise,standing calf raise_one arm,0.8895833333333334
bodyweight standing calf raise,standing reverse calf raise,0.8895833333333334
bodyweight standing calf raise,standing calf raise_forward angled,0.8895833333333334
bodyweight standing calf raise,standing calf raise_forward angled,0.8895833333333334
bodyweight standing calf raise,standing calf raise,0.8895833333333334
seated calf raise,seated calf raise,1.0
seated calf raise,standing reverse calf raise_plate loaded,0.9
seated calf raise,standing calf raise_single leg,0.8796296296296297
seated calf raise,45° reverse calf raise,0.8592592592592593
seated calf raise,reverse calf raise,0.8592592592592593
seated calf raise,45° calf raise,0.8592592592592593
seated calf raise,donkey calf raise,0.8592592592592593
seated calf raise,standing calf raise,0.8796296296296297
seated calf raise,45° calf raise,0.8592592592592593
seated calf raise,hack reverse calf raise,0.8592592592592593
seated calf raise,45° reverse calf raise_plate loaded,0.9
seated calf raise,seated calf press,0.8740740740740741
seated calf raise,safety barbell seated calf raise,1.0
seated calf raise,standing calf raise_on v-squat machine,0.91
seated calf raise,standing calf raise_belt loaded,0.8796296296296297
seated calf raise,safety calf raise,0.898148148148148
seated calf raise,standing calf raise_single leg,0.8796296296296297
seated calf raise,donkey calf raise,0.8592592592592593
seated calf raise,single leg calf raise,0.8592592592592593
seated calf raise,standing calf raise,0.8796296296296297
seated calf raise,standing calf raise,0.8796296296296297
seated calf raise,reverse calf raise_single leg,0.8592592592592593
seated calf raise,45° reverse calf raise_on hack press,0.8592592592592593
seated calf raise,donkey reverse calf raise,0.8592592592592593
seated calf raise,45° calf raise_plate loaded,0.9
seated calf raise,standing calf raise,0.8796296296296297
seated calf raise,donkey calf raise,0.8592592592592593
seated calf raise,standing calf raise_single leg,0.8796296296296297
seated calf raise,45° reverse calf raise,0.8592592592592593
seated calf raise,seated calf press,0.8740740740740741
seated calf raise,reverse calf raise,0.8592592592592593
seated calf raise,single leg calf raise,0.8592592592592593
seated calf raise,standing calf raise,0.8796296296296297
seated calf raise,safety bar reverse calf raise,0.898148148148148
seated calf raise,reverse calf raise,0.8592592592592593
seated calf raise,donkey calf raise,0.8592592592592593
seated calf raise,reverse calf raise_single leg,0.8592592592592593
seated calf raise,single leg calf raise_with other leg,0.8592592592592593
seated calf raise,standing calf raise,0.8796296296296297
seated calf raise,donkey reverse calf raise,0.8592592592592593
seated calf raise,standing calf raise,0.8796296296296297
seated calf raise,standing calf raise_one arm,0.8796296296296297
seated calf raise,seated calf extension,0.8592592592592593
seated calf raise,donkey calf raise,0.8592592592592593
seated calf raise,seated calf raise,1.0
seated calf raise,reverse calf raise,0.8592592592592593
seated calf raise,reverse calf raise,0.8592592592592593
seated calf raise,single leg forward angled calf raise,0.8592592592592593
seated calf raise,seated calf press_on lying leg press,0.8740740740740741
seated calf raise,seated calf press,0.8740740740740741
seated calf raise,reverse calf raise_on v-squat machine,0.91
seated calf raise,single leg forward angled calf raise,0.8592592592592593
seated calf raise,reverse calf raise_single leg,0.8592592592592593
seated calf raise,standing reverse calf raise,0.8796296296296297
seated calf raise,seated calf raise,1.0
seated calf raise,standing calf raise_forward angled,0.8796296296296297
seated calf raise,45° calf raise,0.8592592592592593
seated calf raise,reverse calf raise,0.8592592592592593
seated calf raise,standing calf raise_forward angled,0.8796296296296297
seated calf raise,seated reverse calf press,0.8740740740740741
seated calf raise,seated reverse calf press,0.8740740740740741
seated calf raise,reverse calf raise,0.8592592592592593
seated calf raise,standing calf raise,0.8796296296296297
hack squat calf raise,hack reverse calf raise,0.8708333333333333
hack squat calf raise,standing calf raise_on v-squat machine,0.8988095238095238
hack squat calf raise,45° reverse calf raise_on hack press,0.8708333333333333
hack squat calf raise,reverse calf raise_on v-squat machine,0.8988095238095238
toes out standing calf raise,standing calf raise_one arm,0.8555555555555555
one-leg hack squat calf raise,reverse calf raise_on v-squat machine,0.8569160997732427
standing machine calf raise,standing reverse calf raise_plate loaded,0.919047619047619
standing machine calf raise,standing calf raise_single leg,0.919047619047619
standing machine calf raise,standing calf raise,0.919047619047619
standing machine calf raise,standing calf raise_on v-squat machine,1.0
standing machine calf raise,standing calf raise_belt loaded,0.919047619047619
standing machine calf raise,standing calf raise_single leg,0.919047619047619
standing machine calf raise,standing calf raise,0.919047619047619
standing machine calf raise,standing calf raise,0.919047619047619
standing machine calf raise,standing calf raise,0.919047619047619
standing machine calf raise,standing calf raise_single leg,0.919047619047619
standing machine calf raise,standing calf raise,0.919047619047619
standing machine calf raise,standing calf raise,0.919047619047619
standing machine calf raise,standing calf raise,0.919047619047619
standing machine calf raise,standing calf raise_one arm,0.919047619047619
standing machine calf raise,reverse calf raise_on v-squat machine,0.8875
standing machine calf raise,standing reverse calf raise,0.919047619047619
standing machine calf raise,standing calf raise_forward angled,0.919047619047619
standing machine calf raise,standing calf raise_forward angled,0.919047619047619
standing machine calf raise,standing calf raise,0.919047619047619
one-leg donkey calf raise,reverse calf raise_on v-squat machine,0.8634920634920634
seated dumbbell calf raise,seated calf raise,0.8604166666666666
seated dumbbell calf raise,safety barbell seated calf raise,0.9449404761904762
seated dumbbell calf raise,seated calf raise,0.8604166666666666
seated dumbbell calf raise,seated calf raise,0.8604166666666666
smith machine calf raise,standing calf raise_on v-squat machine,0.9
smith machine calf raise,single leg calf raise_with other leg,0.8648809523809523
smith machine calf raise,reverse calf raise_on v-squat machine,0.9
smith machine one leg calf raise,single leg calf raise_with other leg,0.858068783068783
toes in standing machine calf raise,standing calf raise_on v-squat machine,0.875
seated barbell calf raise,seated calf raise,0.8912698412698412
seated barbell calf raise,safety barbell seated calf raise,1.0
seated barbell calf raise,safety bar reverse calf raise,0.8902777777777777
seated barbell calf raise,seated calf raise,0.8912698412698412
seated barbell calf raise,seated calf raise,0.8912698412698412
cable calf raise,seated calf raise,0.9422222222222222
cable calf raise,standing reverse calf raise_plate loaded,0.9422222222222222
cable calf raise,standing calf raise_single leg,0.9422222222222222
cable calf raise,45° reverse calf raise,0.9422222222222222
cable calf raise,reverse calf raise,0.9422222222222222
cable calf raise,45° calf raise,0.9422222222222222
cable calf raise,donkey calf raise,0.9422222222222222
cable calf raise,standing calf raise,0.9422222222222222
cable calf raise,45° calf raise,0.9422222222222222
cable calf raise,hack reverse calf raise,0.9422222222222222
cable calf raise,45° reverse calf raise_plate loaded,0.9422222222222222
cable calf raise,safety barbell seated calf raise,0.9422222222222222
cable calf raise,standing calf raise_on v-squat machine,0.9422222222222222
cable calf raise,standing calf raise_belt loaded,0.9422222222222222
cable calf raise,safety calf raise,0.9422222222222222
cable calf raise,standing calf raise_single leg,0.9422222222222222
cable calf raise,donkey calf raise,0.9422222222222222
cable calf raise,single leg calf raise,0.9422222222222222
cable calf raise,standing calf raise,0.9422222222222222
cable calf raise,standing calf raise,0.9422222222222222
cable calf raise,reverse calf raise_single leg,0.9422222222222222
cable calf raise,45° reverse calf raise_on hack press,0.9422222222222222
cable calf raise,donkey reverse calf raise,0.9422222222222222
cable calf raise,45° calf raise_plate loaded,0.9422222222222222
cable calf raise,standing calf raise,0.9422222222222222
cable calf raise,donkey calf raise,0.9422222222222222
cable calf raise,standing calf raise_single leg,0.9422222222222222
cable calf raise,45° reverse calf raise,0.9422222222222222
cable calf raise,reverse calf raise,0.9422222222222222
cable calf raise,single leg calf raise,0.9422222222222222
cable calf raise,standing calf raise,0.9422222222222222
cable calf raise,safety bar reverse calf raise,0.9422222222222222
cable calf raise,reverse calf raise,0.9422222222222222
cable calf raise,donkey calf raise,0.9422222222222222
cable calf raise,reverse calf raise_single leg,0.9422222222222222
cable calf raise,single leg calf raise_with other leg,0.9422222222222222
cable calf raise,standing calf raise,0.9422222222222222
cable calf raise,donkey reverse calf raise,0.9422222222222222
cable calf raise,standing calf raise,0.9422222222222222
cable calf raise,standing calf raise_one arm,0.9422222222222222
cable calf raise,donkey calf raise,0.9422222222222222
cable calf raise,seated calf raise,0.9422222222222222
cable calf raise,reverse calf raise,0.9422222222222222
cable calf raise,reverse calf raise,0.9422222222222222
cable calf raise,single leg forward angled calf raise,0.9422222222222222
cable calf raise,reverse calf raise_on v-squat machine,0.9422222222222222
cable calf raise,single leg forward angled calf raise,0.9422222222222222
cable calf raise,reverse calf raise_single leg,0.9422222222222222
cable calf raise,standing reverse calf raise,0.9422222222222222
cable calf raise,seated calf raise,0.9422222222222222
cable calf raise,standing calf raise_forward angled,0.9422222222222222
cable calf raise,45° calf raise,0.9422222222222222
cable calf raise,reverse calf raise,0.9422222222222222
cable calf raise,standing calf raise_forward angled,0.9422222222222222
cable calf raise,reverse calf raise,0.9422222222222222
cable calf raise,standing calf raise,0.9422222222222222
dumbbell shrug,shrug_barbell machine,0.8898809523809523
trap bar shrug,shrug_cable bar,0.8518518518518517
trap bar shrug,trap bar shrug_elevated stand,1.0
trap bar shrug,cambered bar seated shrug,0.8518518518518517
trap bar shrug,trap bar shrug,1.0
seated dumbbell shrug,cambered bar seated shrug,0.8611111111111112
snatch shrug,trap bar shrug_elevated stand,0.8825000000000001
machine shrug,shrug_barbell machine,1.0
gittleson shrug,gripless shrug,0.8770833333333332
gittleson shrug,gripless shrug,0.8770833333333332
gittleson shrug,gripless shrug,0.8770833333333332
gittleson shrug,seated gripless shrug,0.8770833333333332
barbell shrug,shrug_cable bar,0.9333333333333333
barbell shrug,trap bar shrug_elevated stand,0.9333333333333333
barbell shrug,shrug_barbell machine,1.0
barbell shrug,cambered bar seated shrug,0.9333333333333333
barbell shrug,trap bar shrug,0.9333333333333333
seated cable shrug,shrug_cable bar,0.8592592592592593
seated cable shrug,cambered bar seated shrug,0.9377777777777778
seated cable shrug,seated shrug,0.8592592592592593
seated cable shrug,seated gripless shrug,0.8592592592592593
clean shrug,shrug_cable bar,0.9025
inverted shrug,cambered bar seated shrug,0.8611111111111112
inverted shrug,seated shrug,0.8611111111111112
inverted shrug,inverted shrug,1.0
inverted shrug,inverted shrug,1.0
inverted shrug,seated gripless shrug,0.8611111111111112
smith machine shrug,shrug_barbell machine,0.8550264550264549
cable shrug,shrug_cable bar,1.0
cable shrug,cambered bar seated shrug,0.9066666666666666
cable upright row,barbell machine upright row,0.8746031746031746
cable upright row,upright row_dual pulley,0.8777777777777778
cable upright row,upright row_cable bar,1.0
cable upright row,upright row_seated,0.8592592592592593
dumbbell lateral raise,lying lateral raise,0.8511904761904762
dumbbell lateral raise,lateral raise_seated,0.8511904761904762
dumbbell lateral raise,seated rear lateral raise,0.8511904761904762
dumbbell lateral raise,lateral raise_seated,0.8511904761904762
dumbbell lateral raise,lying rear lateral raise,0.8511904761904762
dumbbell lateral raise,lateral raise,0.8511904761904762
dumbbell lateral raise,seated rear lateral raise,0.8511904761904762
dumbbell lateral raise,rear lateral raise,0.8511904761904762
dumbbell lateral raise,on lateral raise machine_on extended arm kneeling lateral raise machine,0.8511904761904762
dumbbell lateral raise,lying rear lateral raise_one arm,0.8511904761904762
dumbbell lateral raise,lying rear lateral raise,0.8511904761904762
dumbbell lateral raise,lateral raise_seated,0.8511904761904762
dumbbell lateral raise,rear lateral raise,0.8511904761904762
dumbbell lateral raise,incline lateral raise,0.8511904761904762
dumbbell lateral raise,lateral raise,0.8511904761904762
dumbbell lateral raise,lying rear lateral raise,0.8511904761904762
dumbbell lateral raise,lateral raise_other machine,0.8511904761904762
dumbbell lateral raise,rear lateral raise_seated,0.8511904761904762
dumbbell lateral raise,lateral raise_kneeling,0.8511904761904762
dumbbell lateral raise,lateral raise_with close pulleys,0.8511904761904762
dumbbell lateral raise,lateral raise_extended arm,0.8511904761904762
dumbbell lateral raise,lateral raise_one arm,0.8511904761904762
dumbbell lateral raise,lateral raise,0.8511904761904762
dumbbell lateral raise,on lateral raise machine,0.8511904761904762
dumbbell lateral raise,rear lateral raise_one arm,0.8511904761904762
dumbbell lateral raise,lateral raise,0.8511904761904762
dumbbell lateral raise,lateral raise_one arm,0.8511904761904762
smith machine upright row,barbell machine upright row,0.8912698412698412
one arm standing arnold press,standing cross row_one arm,0.8800000000000001
cable lateral raise,lying lateral raise,0.8666666666666667
cable lateral raise,lateral raise_seated,0.8666666666666667
cable lateral raise,seated rear lateral raise,0.8666666666666667
cable lateral raise,lateral raise_seated,0.8666666666666667
cable lateral raise,lying rear lateral raise,0.8666666666666667
cable lateral raise,lateral raise,0.8666666666666667
cable lateral raise,seated rear lateral raise,0.8666666666666667
cable lateral raise,rear lateral raise,0.8666666666666667
cable lateral raise,on lateral raise machine_on extended arm kneeling lateral raise machine,0.8666666666666667
cable lateral raise,lying rear lateral raise_one arm,0.8666666666666667
cable lateral raise,lying rear lateral raise,0.8666666666666667
cable lateral raise,lateral raise_seated,0.8666666666666667
cable lateral raise,rear lateral raise,0.8666666666666667
cable lateral raise,incline lateral raise,0.892063492063492
cable lateral raise,lateral raise,0.8666666666666667
cable lateral raise,lying rear lateral raise,0.8666666666666667
cable lateral raise,lateral raise_other machine,0.8666666666666667
cable lateral raise,rear lateral raise_seated,0.8666666666666667
cable lateral raise,lateral raise_kneeling,0.8666666666666667
cable lateral raise,lateral raise_with close pulleys,0.9199999999999999
cable lateral raise,lateral raise_extended arm,0.8666666666666667
cable lateral raise,lateral raise_one arm,0.8666666666666667
cable lateral raise,lateral raise,0.8666666666666667
cable lateral raise,on lateral raise machine,0.8666666666666667
cable lateral raise,rear lateral raise_one arm,0.8666666666666667
cable lateral raise,lateral raise,0.8666666666666667
