muscleNstrength,exRx,result,confidence
one-arm seated cable row,Cable One Arm Seated Row,True,0.8055555555555556
one-arm seated cable row,Cable One Arm Bent-over Row,True,0.7078924162257496
inverted rope row,Suspended Inverted Row,True,0.7140852974186307
inverted rope row,Inverted Row,True,0.8297930283224402
inverted rope row,Weighted Inverted Row,True,0.7361772486772487
seated cable row,Cable One Arm Seated Row,True,0.6569444444444444
seated cable row,Cable Alternating Seated High Row,True,0.5978787878787879
seated cable row,Cable Wide Grip Seated Row,True,0.6364529914529915
seated cable row,Cable Twisting Seated Row,True,0.6612152777777778
seated cable row,Cable Standing Row,True,0.6527777777777778
seated cable row,Cable Straight Back Seated Row,True,0.6204166666666666
seated cable row,Cable Standing Low Row,True,0.6076914983164983
seated cable row,Cable Wide Grip Straight Back Seated Row,True,0.5564484126984127
seated cable row,Cable Kneeling Row,True,0.638425925925926
seated cable row,Cable Seated High Row,True,0.6994047619047619
seated cable row,Lever Seated Row,True,0.7317129629629631
seated cable row,Cable Seated Row,True,0.8020833333333334
seated cable row,Cable Incline Row,True,0.6731248054777466
bent over dumbbell row,Dumbbell Bent-over Row,True,0.7151515151515151
bent over dumbbell row,Barbell Bent-over Row,True,0.6903747294372294
seated high cable row,Lever Alternating Seated High Row,True,0.6588383838383838
seated high cable row,Cable Alternating Seated High Row,True,0.7034343434343434
seated high cable row,Cable Twisting Seated High Row,True,0.71875
seated high cable row,Cable Twisting Seated Row,True,0.6273611111111111
seated high cable row,Lever Seated High Row,True,0.7964285714285715
seated high cable row,Lever Seated High Row,True,0.7964285714285715
seated high cable row,Cable Twisting Standing High Row,True,0.5977430555555555
seated high cable row,Cable One Arm Seated High Row,True,0.7158365261813537
seated high cable row,Cable Seated High Row,True,0.8492063492063492
seated high cable row,Cable Seated Row,True,0.6676587301587302
seated high cable row,Cable One Arm Straight Back Seated High Row,True,0.6173308301033591
smith machine deadlift,Smith Deadlift,True,0.7743626743626744
reverse grip smith machine bent-over row,Smith Bent-over Row,True,0.6804563492063492
reverse grip smith machine bent-over row,Barbell Close Grip Bent-over Row,True,0.7009495464852606
weighted inverted row,Suspended Inverted Row,True,0.7750982042648709
weighted inverted row,Inverted Row,True,0.7355158730158731
weighted inverted row,Weighted Inverted Row,True,1.0
inverted row,Suspended Inverted Row,True,0.7295173961840629
inverted row,Inverted Row,True,1.0
inverted row,Weighted Inverted Row,True,0.7593253968253968
palms in bent-over dumbbell row,Barbell Close Grip Bent-over Row,True,0.6725375566893425
palms in bent-over dumbbell row,Dumbbell Bent-over Row,True,0.6856086789554532
palms in bent-over dumbbell row,Barbell Bent-over Row,True,0.6696318850120693
palms in bent-over dumbbell row,Barbell Underhand Bent-over Row,True,0.675225665236226
reverse grip bent-over dumbbell row,Barbell Close Grip Bent-over Row,True,0.7693310657596373
reverse grip bent-over dumbbell row,Dumbbell Bent-over Row,True,0.6670068027210885
reverse grip bent-over dumbbell row,Barbell Bent-over Row,True,0.6719387755102041
reverse grip bent-over dumbbell row,Barbell Underhand Bent-over Row,True,0.6750747984378938
one arm machine row,Cable One Arm Seated Row,True,0.6919444444444445
one-arm bent-over row,Smith Bent-over Row,True,0.7640806878306878
one-arm bent-over row,Barbell Close Grip Bent-over Row,True,0.6904135959939531
one-arm bent-over row,Dumbbell Bent-over Row,True,0.7635521885521885
one-arm bent-over row,Cable One Arm Bent-over Row,True,0.8529100529100528
one-arm bent-over row,Barbell Bent-over Row,True,0.8067791005291005
one-arm bent-over row,Barbell Underhand Bent-over Row,True,0.6896743613813506
one-arm bent-over row,Lever One Arm Bent-over Row (plate loaded),True,0.6646103896103897
weight vest weighted inverted row,Inverted Row,True,0.6119444444444444
weight vest weighted inverted row,Weighted Inverted Row,True,0.7994318181818182
high inverted row,Lever Seated High Row,True,0.6216683201058201
high inverted row,Lever Seated High Row,True,0.6216683201058201
high inverted row,Inverted Row,True,0.7832924836601307
high inverted row,Weighted Inverted Row,True,0.7966269841269842
dumbbell deadlift,Barbell Deadlift,True,0.8076855742296918
dumbbell deadlift,Barbell Deficit Deadlift,True,0.6852678571428571
dumbbell deadlift,Dumbbell Straight Leg Deadlift,True,0.7196180555555556
smith machine bent-over row,Smith Bent-over Row,True,0.827557319223986
smith machine bent-over row,Dumbbell Bent-over Row,True,0.7022486772486773
smith machine bent-over row,Barbell Bent-over Row,True,0.7002535273368606
cable palm rotational row,Cable Incline Row,True,0.6531547619047618
superman,Contralateral Superman,True,0.6153117715617715
single leg hip thrust,Single Leg Hip Bridge,True,0.8447420634920634
barbell hip thrust,Barbell Hip Thrust,True,1.0
standing glute kickback,Lever Standing Glute Kickback,True,0.871551724137931
standing glute kickback,Sled Kneeling Glute Kickback,True,0.776686507936508
standing glute kickback,Lever Kneeling Glute Kickback,True,0.7309865900383141
standing glute kickback,Sled Standing Glute Kickback,True,0.887797619047619
wide smith machine squat,Smith Wide Squat,True,0.7367063492063493
wide smith machine squat,Smith Squat,True,0.6419146825396825
banded hip thruster,Barbell Hip Thrust,True,0.7862364243943192
single leg glute bridge,Single Leg Hip Bridge,True,0.8294987922705315
hip extensions,Lever Alternating Kneeling Hip Extension,True,0.594659090909091
hip extensions,Lever Kneeling Hip Extension,True,0.6743303571428572
hip extensions,Lever Standing Hip Extension,True,0.6738095238095239
hip extensions,Lever Lying Hip Extension,True,0.6940277777777778
hip extensions,Lever Alternating Lying Hip Extension,True,0.6013069888069889
hip extensions,Cable Standing Hip Extension,True,0.6675595238095238
smith machine incline bench press,Dumbbell Incline Bench Press,True,0.7391477272727274
smith machine incline bench press,Smith Bench Press,True,0.7088744588744589
smith machine incline bench press,Smith Incline Bench Press,True,0.8594516594516595
smith machine incline bench press,Cable Incline Bench Press,True,0.756991341991342
smith machine incline bench press,Lever Incline Bench Press,True,0.7186435786435786
smith machine incline bench press,Barbell Incline Bench Press,True,0.7397474747474747
smith machine incline bench press,Smith Decline Bench Press,True,0.8127705627705628
push up,Push-up Plus,True,0.6770833333333335
dumbbell flys,Dumbbell Decline Fly,True,0.7318121693121693
dumbbell flys,Dumbbell Fly,True,0.9407051282051282
dumbbell flys,Dumbbell Incline Fly,True,0.7296626984126984
incline bench press,Lever Decline Bench Press,True,0.758888888888889
incline bench press,Dumbbell Incline Bench Press,True,0.7983630952380952
incline bench press,Cable Bar Incline Bench Press,True,0.786951286261631
incline bench press,Smith Incline Bench Press,True,0.8466666666666667
incline bench press,Cable Incline Bench Press,True,0.8597619047619047
incline bench press,Lever Incline Bench Press,True,0.8466666666666667
