id,equipment,position
https://www.muscleandstrength.com/exercises/half-kneeling-push-pull,['cable'],[]
https://www.muscleandstrength.com/exercises/exercise-ball-leg-tuck.html,[],[]
https://www.muscleandstrength.com/exercises/decline-bench-leg-raise.html,['bench'],['lay']
https://www.muscleandstrength.com/exercises/weighted-straight-leg-toe-touch,[],"['supine', 'lay']"
https://www.muscleandstrength.com/exercises/barbell-pullover-and-press.html,"['bar', 'barbell']",['lay']
https://www.muscleandstrength.com/exercises/palms-in-incline-dumbbell-bench-press.html,['dumbbell'],"['sit', 'lay']"
https://www.muscleandstrength.com/exercises/eccentric-only-incline-push-up,['bench'],[]
https://www.muscleandstrength.com/exercises/rack-pec-stretch,[],[]
https://www.muscleandstrength.com/exercises/knuckle-push-up,[],[]
https://www.muscleandstrength.com/exercises/self-assisted-straight-bar-dip,[],[]
https://www.muscleandstrength.com/exercises/decline-bench-alternate-knee-raise.html,['bench'],['lay']
https://www.muscleandstrength.com/exercises/swiss-ball-dumbbell-flys.html,['dumbbell'],"['sit', 'lay']"
https://www.muscleandstrength.com/exercises/wide-grip-incline-bench-press,['bar'],['lie']
https://www.muscleandstrength.com/exercises/ring-push-up,[],[]
https://www.muscleandstrength.com/exercises/cross-body-arm-swings,[],[]
https://www.muscleandstrength.com/exercises/alternating-dumbbell-bench-press-exercise-ball,"['physioball', 'dumbbell']",['sit']
https://www.muscleandstrength.com/exercises/lateral-hand-walk-push-up,[],[]
https://www.muscleandstrength.com/exercises/swiss-ball-dumbbell-bench-press.html,"['physioball', 'dumbbell']",['sit']
https://www.muscleandstrength.com/exercises/half-kneeling-pvc-pec-mobilization,[],[]
https://www.muscleandstrength.com/exercises/incline-cable-chest-press,[],"['sit', 'lay']"
https://www.muscleandstrength.com/exercises/ring-fly,[],[]
https://www.muscleandstrength.com/exercises/pec-lacrosse-ball,[],[]
https://www.muscleandstrength.com/exercises/incline-swiss-ball-push-up.html,[],[]
https://www.muscleandstrength.com/exercises/half-kneeling-medicine-ball-chest-pass,[],[]
https://www.muscleandstrength.com/exercises/push-up-to-side-plank,[],[]
https://www.muscleandstrength.com/exercises/spiderman-push-up,[],[]
https://www.muscleandstrength.com/exercises/paused-push-up,[],[]
https://www.muscleandstrength.com/exercises/yoga-push-up,[],[]
https://www.muscleandstrength.com/exercises/wide-reverse-grip-bench-press.html,"['bar', 'bench']",['lay']
https://www.muscleandstrength.com/exercises/dumbbell-twist-press,"['dumbbell', 'bench']","['sit', 'lay']"
https://www.muscleandstrength.com/exercises/fingertip-pushups,[],[]
https://www.muscleandstrength.com/exercises/3-board-bench-press,['bar'],['lie']
