name,relation,anatomy
gate pose,TARGETS,kidneys
gate pose,TARGETS,spine
gate pose,TARGETS,belly
fish pose,TARGETS,abs
fish pose,TARGETS,flexors
fish pose,TARGETS,neck
fish pose,TARGETS,spine
fish pose,TARGETS,belly
downward-facing dog pose,TARGETS,legs
downward-facing dog pose,TARGETS,hamstrings
downward-facing dog pose,TARGETS,back
downward-facing dog pose,TARGETS,kidneys
downward-facing dog pose,TARGETS,arms
downward-facing dog pose,TARGETS,hands
dolphin pose,TARGETS,back
dolphin pose,TARGETS,neck
dolphin pose,TARGETS,arms
dolphin pose,TARGETS,spine
dolphin pose,TARGETS,shoulders
dolphin pose,TARGETS,heart
eight-angle pose,TARGETS,abs
eight-angle pose,TARGETS,ankles
eight-angle pose,TARGETS,flexors
eight-angle pose,TARGETS,wrists
eight-angle pose,TARGETS,arms
eight-angle pose,TARGETS,belly
eight-angle pose,TARGETS,hands
dolphin plank pose,TARGETS,abs
dolphin plank pose,TARGETS,back
dolphin plank pose,TARGETS,neck
dolphin plank pose,TARGETS,arms
dolphin plank pose,TARGETS,shoulders
dolphin plank pose,TARGETS,heart
dolphin plank pose,TARGETS,hands
extended hand-to-big-toe pose,TARGETS,thighs
extended hand-to-big-toe pose,TARGETS,legs
extended hand-to-big-toe pose,TARGETS,ankles
extended hand-to-big-toe pose,TARGETS,hamstrings
extended hand-to-big-toe pose,TARGETS,back
extended hand-to-big-toe pose,TARGETS,knees
extended hand-to-big-toe pose,TARGETS,gluteus maximus
extended hand-to-big-toe pose,TARGETS,lungs
extended hand-to-big-toe pose,TARGETS,hips
extended hand-to-big-toe pose,TARGETS,spine
extended hand-to-big-toe pose,TARGETS,arms
extended hand-to-big-toe pose,TARGETS,heart
extended hand-to-big-toe pose,TARGETS,hands
fire log pose,TARGETS,belly
fire log pose,TARGETS,gluteus maximus
fire log pose,TARGETS,hips
extended side angle pose,TARGETS,legs
extended side angle pose,TARGETS,abs
extended side angle pose,TARGETS,ankles
extended side angle pose,TARGETS,knees
extended side angle pose,TARGETS,spine
extended side angle pose,TARGETS,belly
easy pose,TARGETS,thighs
easy pose,TARGETS,legs
easy pose,TARGETS,ankles
easy pose,TARGETS,knees
easy pose,TARGETS,back
easy pose,TARGETS,lungs
easy pose,TARGETS,hips
easy pose,TARGETS,spine
easy pose,TARGETS,heart
