name,relation,equipment
x-band walk,USES,bands
curtsy lunge (aka drop lunge),USES,bodyweight
marching glute bridge,USES,bodyweight
bodyweight hip thrust,USES,bench
tricep dips,USES,bodyweight
close grip bench press,USES,bench press machine
close grip bench press,USES,bench press machine
standing cable fly,USES,cable
decline dumbbell bench press,USES,bench press machine
cable crossovers (upper chest),USES,cable
fat gripz dumbbell farmers carry,USES,dumbbell
standing alternate dumbbell reverse curl,USES,dumbbell
zercher carry,USES,bar
zercher carry,USES,barbell
cable crunch,USES,cable
trap bar romanian deadlift,USES,trap bar
kettlebell romanian deadlift,USES,kettlebell
kettlebell romanian deadlift,USES,kettle bells
glute ham raise (ghr),USES,bodyweight
lat foam rolling,USES,foam roll
overhand close grip lat pulldown,USES,lat pulldown machine
overhand close grip lat pulldown,USES,lat pulldown machine
band assisted chin up (from knee),USES,bar
band assisted chin up (from knee),USES,bands
cable calf raise,USES,calf raise machine
cable calf raise,USES,calf raise machine
one-leg seated dumbbell calf raise,USES,calf raise machine
45 degree toe raise,USES,toe raise machine
toes in standing machine calf raise,USES,calf raise machine
cable row to neck,USES,cable
high pull,USES,bar
high pull,USES,barbell
wide grip upright row,USES,bar
wide grip upright row,USES,barbell
rope crossover seated row,USES,cable
reverse lunge sled row,USES,sled
trap bar row,USES,trap bar
trap bar row,USES,bar
seated row using rope,USES,cable
seated bent over dumbbell reverse fly,USES,dumbbell
single arm cable lateral raise (crossbody),USES,cable
standing cable reverse fly,USES,cable
seated dumbbell lateral raise,USES,dumbbell
cable curl,USES,cable
cable curl,USES,bar
hammer curl across the body aka pinwheel curls,USES,dumbbell
alternating standing dumbbell curl,USES,dumbbell
zottman curl,USES,dumbbell
dynamic pigeon,USES,bodyweight
good mornings off pins,USES,bar
good mornings off pins,USES,barbell
figure 4 glute stretch,USES,bodyweight
rope tricep extension,USES,cable
two arm standing dumbbell extension,USES,dumbbell
decline bench press,USES,bench press machine
decline bench press,USES,bench press machine
reverse dumbbell bench press,USES,bench press machine
push up,USES,bodyweight
dumbbell reverse preacher curl,USES,dumbbell
barbell wrist curl over bench,USES,bar
barbell wrist curl over bench,USES,barbell
standing one arm dumbbell reverse curl,USES,dumbbell
hanging leg raise,USES,bodyweight
lying floor leg raise,USES,bodyweight
one arm kettlebell swing,USES,kettle bells
double kettlebell single leg deadlift,USES,kettle bells
dumbbell stiff leg deadlift (on bench),USES,dumbbell
l-sit pull up,USES,bodyweight
underhand close grip lat pulldown,USES,lat pulldown machine
mixed grip chin up,USES,bar
mixed grip chin up,USES,bodyweight
single leg overhead medicine ball tap,USES,medicine ball
skipping jump rope,USES,jump rope
bodyweight floor calf raise,USES,calf raise machine
posterior calf lacrosse ball,USES,lacrosse ball
toes out standing calf raise,USES,calf raise machine
reverse lunge sled walk,USES,sled
1 kb kettlebell sumo deadlift high pull,USES,kettlebell
1 kb kettlebell sumo deadlift high pull,USES,kettle bells
cable shrug,USES,cable
standing calf machine shrug,USES,standing calf machine
2 kb kettlebell sumo deadlift high pull,USES,kettlebell
2 kb kettlebell sumo deadlift high pull,USES,kettle bells
weight vest weighted inverted row,USES,other
reverse grip smith machine bent-over row,USES,smith machine
reverse grip smith machine bent-over row,USES,smith machine
palm rotational row,USES,dumbbell
cable lateral raise,USES,cable
seated behind the neck shoulder press,USES,bar
seated behind the neck shoulder press,USES,barbell
seated behind the neck shoulder press,USES,bench
machine shoulder press,USES,shoulder press machine
spider curl,USES,barbell
cable curl (rope extension),USES,cable
machine bicep curl,USES,bar
machine bicep curl,USES,bicep curl machine
glute foam rolling,USES,foam roll
standing external rotation,USES,bands
ghd back extension iso hold,USES,back extension machine
bench dip,USES,bodyweight
bench dip,USES,bench
dumbbell floor press,USES,dumbbell
french press,USES,bar
french press,USES,barbell
hammer strength machine incline bench press,USES,bench press machine
hammer strength machine incline bench press,USES,bench press machine
one arm dumbbell fly,USES,dumbbell
one arm dumbbell fly,USES,bench
high bar back squat,USES,bar
high bar back squat,USES,barbell
forearm tiger tail,USES,tiger tail
reverse grip seated cable wrist curl,USES,cable
reverse grip seated cable wrist curl,USES,bar
dumbbell high low carry,USES,dumbbell
dumbbell side bends,USES,dumbbell
weighted crunch,USES,other
plank,USES,bodyweight
single leg valslide leg curl,USES,leg curl machine
snatch grip deadlift,USES,bar
snatch grip deadlift,USES,barbell
banded conventional deadlift,USES,barbell
snatch grip block pull deadlift,USES,barbell
archer pull up,USES,bodyweight
thibaudeau kayak row,USES,cable
lat pulldown (rope extension),USES,lat pulldown machine
toes in smith machine calf raise,USES,smith machine
toes in smith machine calf raise,USES,smith machine
single leg circle jump rope,USES,jump rope
banded tibialis raise,USES,kettlebell
banded tibialis raise,USES,bands
one-arm dumbbell upright row,USES,dumbbell
snatch grip high pull,USES,bar
snatch grip high pull,USES,barbell
seated dumbbell shrug,USES,dumbbell
split snatch,USES,bar
split snatch,USES,barbell
zerchers squat,USES,bar
zerchers squat,USES,barbell
cycled split squat jump,USES,bodyweight
feet forward smith machine squat,USES,smith machine
feet forward smith machine squat,USES,smith machine
incline bench cable row,USES,cable
incline bench cable row,USES,bar
incline bench cable row,USES,bench
renegade row,USES,dumbbell
weighted inverted row,USES,rings
one-arm seated cable row,USES,cable
barbell front raise,USES,bar
barbell front raise,USES,barbell
smith machine upright row,USES,smith machine
smith machine upright row,USES,smith machine
one arm dumbbell lateral raise,USES,dumbbell
cable front raise (bilateral),USES,cable
lat pulldown bicep curl,USES,lat pulldown machine
lat pulldown bicep curl,USES,lat pulldown machine
lat pulldown bicep curl,USES,lat pulldown machine
one-arm cable curl,USES,cable
standing dumbbell reverse curl,USES,dumbbell
barbell preacher curl,USES,barbell
supine hip internal rotation,USES,bodyweight
single leg glute bridge,USES,bodyweight
single leg hip thrust,USES,bench
one-arm standing dumbbell extension,USES,dumbbell
weighted tricep dips,USES,other
decline dumbbell flys,USES,dumbbell
standing high to low cable fly,USES,cable
sled sprint,USES,sled
speed squats,USES,bar
speed squats,USES,barbell
forearm extensors lacrosse ball,USES,lacrosse ball
seated cable wrist curl,USES,cable
neutral dumbbell wrist curl over bench,USES,dumbbell
hanging knee raise,USES,bar
hanging knee raise,USES,bodyweight
ab crunch,USES,bodyweight
floor crunch (legs on bench),USES,bodyweight
lying cable hamstring curl,USES,cable
single leg barbell romanian deadlift,USES,barbell
trap bar deadlift against chains,USES,trap bar
trap bar deadlift against chains,USES,bar
weighted chin up hang,USES,belt
weighted chin up hang,USES,bar
weighted chin up hang,USES,chains
skin the cat,USES,rings
resistance band assisted pull up (from foot),USES,bar
resistance band assisted pull up (from foot),USES,bands
rope pull up,USES,bodyweight
anterior calf foam rolling,USES,foam roll
seated barbell calf raise,USES,calf raise machine
smith machine one leg toe raise,USES,toe raise machine
smith machine one leg toe raise,USES,toe raise machine
t-bar machine shrug,USES,t-bar machine
snatch shrug,USES,bar
snatch shrug,USES,barbell
behind-the-back barbell shrug,USES,bar
behind-the-back barbell shrug,USES,barbell
inverted shrug,USES,bar
inverted shrug,USES,bodyweight
2 kb kettlebell clean,USES,kettlebell
2 kb kettlebell clean,USES,kettle bells
kettlebell lateral lunge,USES,kettlebell
kettlebell lateral lunge,USES,kettle bells
squat to stand w/ t-spine rotation,USES,bodyweight
field goal angel foam rolling,USES,foam roll
bent over kettlebell row,USES,kettlebell
bent over kettlebell row,USES,kettle bells
machine lateral raise,USES,lateral raise machine
landmine lateral raise,USES,landmine
landmine lateral raise,USES,barbell
cable upright row,USES,cable
standing dumbbell front raise,USES,dumbbell
standing high pulley cable curl,USES,cable
seated cable curl,USES,cable
seated cable curl,USES,bar
ez bar curl,USES,bar
ez bar curl,USES,barbell
banded hip thruster,USES,hip thruster
single leg hip thrust with dumbbell,USES,dumbbell
bodyweight hip thruster,USES,hip thruster
single leg good morning,USES,bar
single leg good morning,USES,barbell
incline skullcrusher,USES,barbell
incline skullcrusher,USES,bench
one arm kettlebell floor press,USES,kettle bells
dumbbell twist press,USES,dumbbell
dumbbell twist press,USES,bench
neutral grip dumbbell bench press,USES,bench press machine
neutral grip dumbbell bench press,USES,bench press machine
wide grip incline bench press,USES,bench press machine
wide grip incline bench press,USES,bench press machine
smith machine incline bench press,USES,smith machine
smith machine incline bench press,USES,smith machine
smith machine incline bench press,USES,smith machine
back squat to box against chains,USES,bar
back squat to box against chains,USES,chains
kettlebell reverse lunge,USES,kettle bells
dumbbell overhead carry,USES,dumbbell
forearm flexors lacrosse ball,USES,lacrosse ball
reverse cable preacher curl,USES,cable
standing cable reverse curl,USES,cable
twisting hanging knee raise,USES,bodyweight
pallof press,USES,cable
straight leg toe touch (floor toe reach),USES,bodyweight
abdominal barbell rollouts,USES,barbell
hamstring foam rolling,USES,foam roll
snatch grip deficit deadlift,USES,barbell
deficit deadlift,USES,bar
deficit deadlift,USES,barbell
double pause chin up,USES,bar
double pause chin up,USES,bodyweight
single leg front to back jump rope,USES,jump rope
knee break ankle mobilization,USES,bodyweight
peroneal foam rolling,USES,foam roll
one-leg cable calf raise,USES,calf raise machine
one-leg cable calf raise,USES,calf raise machine
sumo high pull,USES,bar
sumo high pull,USES,barbell
lying cable shrug,USES,cable
lying cable shrug,USES,bar
machine shrug,USES,shrug machine
trap lacrosse ball,USES,lacrosse ball
lying cable upright row,USES,cable
lying cable upright row,USES,bar
reverse band back squats,USES,bar
reverse band back squats,USES,barbell
bodyweight wall squat,USES,bodyweight
kettlebell thruster,USES,kettlebell
kettlebell thruster,USES,kettle bells
wide squat,USES,barbell
weight plate front raise,USES,other
banded standing shoulder press,USES,bands
alternate seated dumbbell press,USES,dumbbell
alternate seated dumbbell press,USES,bench
dumbbell upright row,USES,dumbbell
one arm standing hammer curl,USES,dumbbell
wide grip standing barbell curl,USES,barbell
one arm seated dumbbell curl,USES,dumbbell
seated dumbbell reverse curl,USES,dumbbell
hip thruster with mini band,USES,hip thruster
diagonal band walk,USES,bands
reverse grip cable tricep extension,USES,cable
high pulley overhead tricep extension (rope extension),USES,cable
cable tricep extension with v-bar,USES,cable
one-arm seated dumbbell extension,USES,dumbbell
paused barbell bench press,USES,bench press machine
weighted chest dip,USES,belt
weighted chest dip,USES,bar
weighted chest dip,USES,other
lying cable pullover,USES,cable
lying cable pullover,USES,bench
ipsilateral load dumbbell rear lunge,USES,dumbbell
lateral lunge to drop lunge,USES,bodyweight
decline bench dumbbell lunge,USES,dumbbell
one arm seated neutral dumbbell wrist curl,USES,dumbbell
kettlebell goblet carry,USES,kettle bells
ez bar reverse grip barbell curl,USES,ez bar
ez bar reverse grip barbell curl,USES,bar
decline sit up,USES,bodyweight
decline sit up,USES,bench
sit up,USES,bodyweight
exercise ball crunch,USES,exercise ball
plank to hip raise,USES,bodyweight
standing stomach vacuum,USES,bodyweight
double kettlebell suitcase deadlift,USES,kettle bells
single leg curl,USES,leg curl machine
banded sumo deadlift,USES,bar
banded sumo deadlift,USES,barbell
smith machine one leg calf raise,USES,smith machine
smith machine one leg calf raise,USES,smith machine
single leg jump rope,USES,jump rope
posterior calf foam rolling,USES,foam roll
smith machine toe raise,USES,toe raise machine
smith machine toe raise,USES,toe raise machine
overhead barbell shrug,USES,bar
overhead barbell shrug,USES,barbell
seated cable shrug,USES,cable
seated cable shrug,USES,bar
snatch grip barbell shrug,USES,bar
snatch grip barbell shrug,USES,barbell
low bar back squat,USES,bar
low bar back squat,USES,barbell
clean & jerk,USES,bar
clean & jerk,USES,barbell
weighted sissy squat,USES,other
half kneeling banded face pull,USES,bands
one arm kettlebell z press,USES,kettlebell
one arm kettlebell z press,USES,kettle bells
military press behind neck,USES,bar
military press behind neck,USES,barbell
alternate seated dumbbell curl,USES,dumbbell
smith machine bicep curl,USES,smith machine
smith machine bicep curl,USES,smith machine
seated zottman curl,USES,dumbbell
seated zottman curl,USES,bench
exercise ball preacher curl,USES,barbell
exercise ball preacher curl,USES,exercise ball
seated external rotation,USES,bands
reverse hyperextension,USES,bodyweight
side lying clam with band,USES,bands
dumbbell tricep kickback,USES,dumbbell
dumbbell tricep kickback,USES,bench
reverse grip close grip bench press,USES,bench press machine
reverse grip close grip bench press,USES,bench press machine
seated french press,USES,bar
seated french press,USES,barbell
seated french press,USES,bench
alternate dumbbell bench press (high start),USES,bench press machine
alternate dumbbell bench press (high start),USES,bench press machine
close grip dumbbell press (aka crush press),USES,dumbbell
close grip dumbbell press (aka crush press),USES,bench
incline push ups,USES,bodyweight
incline push ups,USES,bench
backward sled push,USES,sled
reverse grip cable curl,USES,cable
standing cable wrist curl (behind back),USES,cable
dead bug,USES,bodyweight
side crunch with leg lift,USES,bodyweight
side plank,USES,bodyweight
abominal hip thrust,USES,bodyweight
abominal hip thrust,USES,bench
inchworm,USES,bodyweight
single leg one dumbbell deadlift,USES,dumbbell
valslide leg curl,USES,leg curl machine
single leg side to side jump rope,USES,jump rope
one-leg donkey calf raise,USES,calf raise machine
alternating single leg jump rope,USES,jump rope
smith machine seated toe raise,USES,toe raise machine
smith machine seated toe raise,USES,toe raise machine
(posterior) calves tiger tail,USES,tiger tail
smith machine shrug,USES,smith machine
smith machine shrug,USES,smith machine
smith machine shrug,USES,smith machine
overhead squat,USES,bar
overhead squat,USES,barbell
prisoner jump squat,USES,bodyweight
smith machine squat to bench,USES,smith machine
smith machine squat to bench,USES,smith machine
smith machine squat to bench,USES,smith machine
standing arnold press,USES,dumbbell
push press,USES,bar
push press,USES,barbell
barbell hammer curl,USES,bar
barbell hammer curl,USES,barbell
twisting standing dumbbell curl,USES,dumbbell
one arm dumbbell hammer preacher curl,USES,dumbbell
incline hammer curl,USES,dumbbell
incline hammer curl,USES,bench
sled pull through,USES,sled
banded glute bridge,USES,bands
glute lacrosse ball,USES,lacrosse ball
lateral band walk,USES,bands
banded tricep extension,USES,bands
incline close grip bench press,USES,bench press machine
incline close grip bench press,USES,bench press machine
one arm bent over dumbbell tricep kickback,USES,dumbbell
standing low pulley overhead tricep extension (rope extension),USES,cable
standing low to high cable fly,USES,cable
incline cable flys,USES,cable
incline cable flys,USES,bench
decline push up (feet on bench),USES,bench
power clean,USES,bar
power clean,USES,barbell
overhead step up,USES,other
split squat,USES,bodyweight
one arm seated dumbbell wrist curl,USES,dumbbell
kettlebell racked crossover walk,USES,kettlebell
kettlebell racked crossover walk,USES,kettle bells
reverse crunch to dead bug,USES,kettlebell
reverse crunch to dead bug,USES,kettle bells
abdominal air bike (aka bicycle),USES,bodyweight
rotating mountain climber,USES,bodyweight
exercise ball on-the-wall calf raise,USES,calf raise machine
exercise ball on-the-wall calf raise,USES,calf raise machine
jump rope,USES,jump rope
1 kb kettlebell clean & press,USES,kettlebell
1 kb kettlebell clean & press,USES,kettle bells
band resisted back squat,USES,bar
band resisted back squat,USES,bands
front barbell step up,USES,barbell
high weight plate front raise,USES,other
seated neutral grip dumbbell press,USES,dumbbell
seated neutral grip dumbbell press,USES,bench
two arm cable curl on incline bench,USES,cable
two arm cable curl on incline bench,USES,bench
close grip ez bar curl,USES,ez bar
close grip ez bar curl,USES,bar
prone incline hammer curl,USES,dumbbell
cable tricep kickback,USES,cable
one arm bottoms up kettlebell floor press,USES,kettle bells
wide grip push ups,USES,bodyweight
incline cable chest press,USES,cable
ring fly,USES,rings
exercise ball dumbbell bench press,USES,bench press machine
exercise ball dumbbell bench press,USES,bench press machine
exercise ball dumbbell bench press,USES,bench press machine
wide hack squat,USES,hack squat machine
dumbbell thruster,USES,dumbbell
landmine goblet squat,USES,landmine
snatch balance,USES,bar
snatch balance,USES,barbell
smith machine seated wrist curl,USES,smith machine
smith machine seated wrist curl,USES,smith machine
reverse one arm cable curl,USES,cable
kettlebell single arm bottoms up carry,USES,kettlebell
kettlebell single arm bottoms up carry,USES,kettle bells
chair leg raise,USES,bodyweight
split stance pallof press,USES,cable
seated leg tucks,USES,bodyweight
seated leg tucks,USES,bench
rocking standing calf raise,USES,calf raise machine
walking quad stretch to overhead lunge,USES,bodyweight
dumbbell split jump,USES,dumbbell
reverse band box squat,USES,bar
reverse band box squat,USES,barbell
standing banded face pull,USES,bands
dumbbell reverse fly on incline bench,USES,dumbbell
z press,USES,bar
z press,USES,barbell
wide grip cable curl,USES,cable
wide grip cable curl,USES,bar
dumbbell hammer preacher curl,USES,dumbbell
hammer bar preacher curl,USES,bar
hammer bar preacher curl,USES,barbell
squatting cable curl,USES,cable
squatting cable curl,USES,bar
band assisted dip,USES,bands
standing low-pulley overhead tricep extension,USES,cable
standing low-pulley overhead tricep extension,USES,bar
exercise ball dumbbell kickbacks,USES,exercise ball
lateral hand walk push up,USES,bodyweight
half kneeling pvc pec mobilization,USES,bodyweight
1/2 squat,USES,bar
1/2 squat,USES,barbell
barbell step ups,USES,barbell
band resisted box squat,USES,bar
band resisted box squat,USES,bands
dumbbell goblet split squat,USES,dumbbell
plate pinch carry,USES,other
one arm dumbbell wrist curl over bench,USES,dumbbell
russian twist,USES,bodyweight
bench jack knife,USES,bodyweight
barbell side split squat,USES,bar
barbell side split squat,USES,barbell
ipsilateral load split squat,USES,dumbbell
one leg hack squat,USES,hack squat machine
one leg hack squat,USES,hack squat machine
clean,USES,bar
clean,USES,barbell
weighted exercise ball wall squat,USES,dumbbell
