workout_name,relation,exercise
batman-workout-routine_10,INCLUDES,bodyweight walking lunge
best-hiit-workouts_2,INCLUDES,bodyweight walking lunge
12-week-total-transformation-workout_6,INCLUDES,bodyweight walking lunge
the-best-upper-body-workout-routine_7,INCLUDES,bodyweight walking lunge
m-f-workout-routine_2,INCLUDES,bodyweight walking lunge
myers-glute-workout_0,INCLUDES,bodyweight walking lunge
myers-glute-workout_2,INCLUDES,bodyweight walking lunge
tactical-physique-strength-conditioning-workout_2,INCLUDES,bodyweight walking lunge
3-day-full-body-workout-for-tall-girls_1,INCLUDES,bodyweight walking lunge
3-day-total-body-sculpting-workout_2,INCLUDES,bodyweight walking lunge
mission-aesthetics-10-week-fat-loss-workout_0,INCLUDES,bodyweight walking lunge
300-rise-new-you-workout-muscular-ripped_2,INCLUDES,bodyweight walking lunge
zac-efron-workout_1,INCLUDES,bodyweight walking lunge
12-week-military-workout-program_2,INCLUDES,bodyweight walking lunge
12-week-military-workout-program_4,INCLUDES,bodyweight walking lunge
6-week-navy-seal-workout-routine_1,INCLUDES,bodyweight walking lunge
6-week-navy-seal-workout-routine_6,INCLUDES,bodyweight walking lunge
10-week-fat-torcher_5,INCLUDES,bodyweight walking lunge
3-day-full-body-planet-fitness-workout_2,INCLUDES,bodyweight walking lunge
brandon-hendrickson-workout_1,INCLUDES,bodyweight walking lunge
fat-loss-inferno-5-day-workout_3,INCLUDES,bodyweight walking lunge
chadwick-boseman-workout-program_0,INCLUDES,bodyweight walking lunge
muscle-and-strength-womens-fat-loss-workout_1,INCLUDES,bodyweight walking lunge
8-week-muscle-building-bodyweight-workout_2,INCLUDES,bodyweight walking lunge
8-week-muscle-building-bodyweight-workout_3,INCLUDES,bodyweight walking lunge
8-week-muscle-building-bodyweight-workout_4,INCLUDES,bodyweight walking lunge
6-week-bodyweight-only-workout_0,INCLUDES,bodyweight walking lunge
6-week-bodyweight-only-workout_1,INCLUDES,bodyweight walking lunge
full-body-bodyweight-workout.html_0,INCLUDES,tricep dips
captain-america-winter-soldier-physique_1,INCLUDES,tricep dips
ryan-reynolds-deadpool-inspired-workout_1,INCLUDES,tricep dips
september-starter-beginner-workout_2,INCLUDES,tricep dips
4-day-upper-lower-planet-fitness-workout_0,INCLUDES,tricep dips
5-day-body-part-split-planet-fitness-workout_4,INCLUDES,tricep dips
dave-bautista-workout-program_4,INCLUDES,tricep dips
chris-pratt-workout-program_1,INCLUDES,tricep dips
john-cena-workout-routine_2,INCLUDES,tricep dips
dougs-mass-building-routine-for-ectomorphs.html_0,INCLUDES,tricep dips
advanced-bodybuilder-workout.html_1,INCLUDES,tricep dips
3day-beginners-workout.html_0,INCLUDES,tricep dips
guns-of-glory-workout_0,INCLUDES,tricep dips
8-x-8-workout-lean-muscle_2,INCLUDES,tricep dips
4-day-workout-to-build-muscle_3,INCLUDES,tricep dips
chris-evans-workout-program_3,INCLUDES,tricep dips
the-ultimate-bro-split_4,INCLUDES,tricep dips
4-day-advanced-upper-lower-workout-program-to-build-mass_2,INCLUDES,tricep dips
6-week-workout-program-to-build-lean-muscle_3,INCLUDES,tricep dips
m-f-workout-routine_4,INCLUDES,tricep dips
upper-lower-4-day-gym-bodybuilding-workout_2,INCLUDES,tricep dips
10-week-mass-building-program.html_0,INCLUDES,tricep dips
shul-workout_1,INCLUDES,tricep dips
henry-cavill-workout_3,INCLUDES,tricep dips
tactical-physique-strength-conditioning-workout_1,INCLUDES,tricep dips
zac-efron-workout_2,INCLUDES,tricep dips
in-season-workout-routine-for-basketball-players_1,INCLUDES,tricep dips
steve-reeves-inspired-workout_1,INCLUDES,tricep dips
8-week-full-body-womens-workout-routine_1,INCLUDES,tricep dips
6-week-navy-seal-workout-routine_5,INCLUDES,tricep dips
6-week-navy-seal-workout-routine_6,INCLUDES,tricep dips
10-week-fat-torcher_5,INCLUDES,tricep dips
body-fat-blaster-8-week-workout_0,INCLUDES,tricep dips
ripped-freak-training-program_3,INCLUDES,tricep dips
creed-workout-program_3,INCLUDES,tricep dips
8-week-muscle-building-bodyweight-workout_5,INCLUDES,tricep dips
8-week-muscle-building-bodyweight-workout_6,INCLUDES,tricep dips
full-body-bodyweight-workout.html_0,INCLUDES,high inverted row
jai-courtney-workout-terminator-genisys_0,INCLUDES,high inverted row
guns-a-blazing-workout_1,INCLUDES,high inverted row
back-day-burnout_0,INCLUDES,high inverted row
8-week-muscle-building-bodyweight-workout_0,INCLUDES,high inverted row
6-day-powerbuilding-split-meal-plan_0,INCLUDES,barbell bench press
conjugate-system-beginner-powerlifting-workout-phase-3_3,INCLUDES,barbell bench press
